"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
2.25,25,9.36176063247299
2.25,37.5,-23.1794548576986
2.25,50,-42.4760520082236
2.25,62.5,-53.3071466715218
2.25,75,-58.4782428534151
2.25,87.5,-59.6591083906087
2.25,100,-57.8724538522344
2.25,112.5,-53.778280016466
2.25,125,-47.8385061560351
2.25,137.5,-40.4113271383402
2.25,150,-31.8042137018292
2.25,162.5,-22.3025043398787
2.25,175,-12.183539341395
2.25,187.5,-1.72222270353643
2.25,200,8.80848791215649
2.25,212.5,19.1400456522023
2.25,225,29.0124274732323
2.25,237.5,38.1790684480873
2.25,250,46.4120670438196
2.25,262.5,53.5072862440559
2.25,275,59.2890769477309
2.25,287.5,63.6144230555991
2.25,300,66.3763546034807
2.25,312.5,67.5065165543745
2.25,325,66.9768118004279
2.25,337.5,64.8000685209197
2.25,350,61.0297084575695
2.25,362.5,55.7584207832424
2.25,375,49.1158742357329
2.25,387.5,41.2655183897702
2.25,400,32.4005563521616
2.25,412.5,22.7391849057278
2.25,425,12.5192199866828
2.25,437.5,1.99223942848284
2.25,450,-8.58261284217336
2.25,462.5,-18.9450085921313
2.25,475,-28.839846153656
2.25,487.5,-38.0235326239124
2.25,500,-46.2699823129875
2.4,0,134.347
2.4,12.5,78.3856226131663
2.4,25,22.4238083271846
2.4,37.5,-11.8329394767094
2.4,50,-32.7662593479498
2.4,62.5,-45.2544370778336
2.4,75,-52.14512055093
2.4,87.5,-55.1154864385315
2.4,100,-55.1743040426745
2.4,112.5,-52.9545769702003
2.4,125,-48.8835260815746
2.4,137.5,-43.2805794959018
2.4,150,-36.4129839690476
2.4,162.5,-28.5263748654294
2.4,175,-19.8604835333261
2.4,187.5,-10.6559821899066
2.4,200,-1.15603494051114
2.4,212.5,8.3953002139261
2.4,225,17.7564995221581
2.4,237.5,26.693000138648
2.4,250,34.9820770746828
2.4,262.5,42.4177949991308
2.4,275,48.8157610833554
2.4,287.5,54.0174746656529
2.4,300,57.8941142149665
2.4,312.5,60.3496381140566
2.4,325,61.3231047738894
2.4,337.5,60.7901446447774
2.4,350,58.7635413873207
2.4,362.5,55.2929040094609
2.4,375,50.4634363657461
2.4,387.5,44.3938324898812
2.4,400,37.2333487345569
2.4,412.5,29.1581247531098
2.4,425,20.3668430635684
2.4,437.5,11.075834412228
2.4,450,1.51374857619086
2.4,462.5,-8.08407733263022
2.4,475,-17.4814153435522
2.4,487.5,-26.4469645421593
2.4,500,-34.7600477588514
2.55,0,163.549
2.55,12.5,102.12072002247
2.55,25,40.6926043170989
2.55,37.5,2.40164725773977
2.55,50,-21.7590099111275
2.55,62.5,-37.0339314822459
2.55,75,-46.4762103130232
2.55,87.5,-51.8686689428409
2.55,100,-54.2640048458939
2.55,112.5,-54.3013708961683
2.55,125,-52.3915846768474
2.55,137.5,-48.824970062743
2.55,150,-43.8334883440802
2.55,162.5,-37.6257419275502
2.55,175,-30.4057828611161
2.55,187.5,-22.3821814058873
2.55,200,-13.7711939115865
2.55,212.5,-4.7963371750342
2.55,225,4.31422269059437
2.55,237.5,13.331573069706
2.55,250,22.0306749660052
2.55,262.5,30.1952970673466
2.55,275,37.6229764661863
2.55,287.5,44.1297851427646
2.55,300,49.5547244969276
2.55,312.5,53.7636075978514
